id,log_price,property_type_encoded,room_type_encoded,bed_type_encoded,city_encoded,neighbourhood_encoded,cancellation_policy_encoded,cleaning_fee_encoded,instant_bookable_encoded,host_identity_verified_encoded,accommodates_numeric,bedrooms_numeric,beds_numeric,bathrooms_numeric,number_of_reviews_numeric,review_scores_rating_numeric,localisation,reputation,couchages,amenities_score,host_experience_years
12308959,5.459585514144161,7,5,1,3,5,2,0,0,0,4,2.0,2.0,1.0,17,91.0,34,34143.437685739846,12.0,108,1.374401095140315
3615796,5.700443573390688,7,5,1,5,4,1,1,1,1,6,2.0,2.0,1.0,115,98.0,34,102991.4260509097,16.0,183,3.219712525667352
15798828,4.653960350157523,1,5,1,2,2,1,1,0,1,2,0.0,2.0,1.0,16,99.0,9,39204.0,0.0,134,2.209445585215606
19694463,4.0943445622221,7,2,1,4,3,3,0,0,0,2,1.0,2.0,1.0,1,100.0,31,10000.0,4.0,88,0.813141683778234
18275681,4.867534450455582,7,5,1,4,4,3,1,0,0,2,1.0,1.0,1.0,3,47.0,33,3826.10023391965,3.0,114,3.123887748117728
2936449,5.010635294096256,9,5,1,3,4,1,1,0,1,6,3.0,3.0,1.0,3,100.0,38,17320.508075688773,27.0,126,1.5331964407939769
16321223,4.248495242049359,7,2,1,3,3,3,1,1,1,3,1.0,1.0,1.0,127,94.0,30,99576.66288844992,4.0,246,0.9527720739219712
9684262,4.532599493153255,7,5,1,3,3,1,1,1,1,4,0.0,2.0,1.0,13,94.0,30,31858.651069999807,0.0,194,0.9938398357289528
5146173,4.4998096703302615,7,5,1,2,3,2,1,1,1,3,2.0,2.0,1.0,25,98.0,29,48020.0,10.0,134,0.6324435318275154
20424773,5.003946305945459,4,5,1,2,5,1,1,0,1,4,1.0,1.0,1.0,8,100.0,24,28284.271247461904,5.0,211,2.9897330595482545
14407767,5.433722003554242,3,5,1,2,3,1,1,0,0,6,3.0,3.0,1.0,85,97.0,17,86746.69379866877,27.0,184,2.9842573579739904
19100241,4.787491742782046,7,5,1,3,4,2,1,0,1,4,1.0,1.0,1.0,2,100.0,32,14142.135623730952,5.0,174,0.0
18199361,4.787491742782046,3,2,1,3,1,2,1,1,0,3,1.0,1.0,1.0,9,97.0,14,28227.0,4.0,90,3.794661190965092
1841832,4.248495242049359,7,1,1,2,4,1,1,0,0,1,1.0,1.0,1.0,19,99.0,31,42721.56854564215,2.0,120,1.1471594798083504
4620262,5.857933154483459,7,5,1,3,3,2,1,1,1,10,4.0,5.0,1.0,67,96.0,30,75436.2111455765,50.0,263,1.1444216290212184
16965094,5.010635294096256,7,5,1,3,5,1,1,0,1,4,1.0,1.0,1.0,26,98.0,34,48970.9834085451,5.0,117,1.429158110882957
1530386,5.68697535633982,3,5,1,3,4,2,1,0,1,6,2.0,4.0,1.5,7,97.0,20,24893.874085806736,20.0,195,4.780287474332649
4836986,5.010635294096256,7,5,1,3,5,1,1,1,1,2,1.0,1.0,1.0,13,100.0,34,36055.51275463989,3.0,100,3.9534565366187535
19596066,4.0943445622221,7,5,1,3,1,3,1,0,1,2,1.0,1.0,1.0,2,100.0,26,14142.135623730952,3.0,140,4.574948665297741
2934692,5.857933154483459,7,5,1,5,5,2,1,0,1,4,3.0,2.0,2.5,14,98.0,36,35934.877542576935,18.0,126,4.079397672826831
18877699,4.465908118654584,7,5,1,3,4,1,1,0,0,2,1.0,1.0,1.0,2,100.0,32,14142.135623730952,3.0,158,0.0
17206947,4.48863636973214,1,5,1,2,3,3,1,1,1,1,1.0,1.0,1.0,2,60.0,11,5091.168824543142,2.0,145,0.4106776180698152
18226182,4.4998096703302615,7,2,1,3,4,3,0,0,1,2,1.0,1.0,1.0,2,100.0,32,14142.135623730952,3.0,91,4.008213552361396
13686205,6.214608098422191,10,5,1,3,2,1,1,0,1,16,3.0,3.0,1.0,2,100.0,37,14142.135623730952,50.0,146,5.111567419575633
13167484,4.74493212836325,7,5,1,2,4,2,1,0,0,3,1.0,1.0,1.0,8,100.0,31,28284.271247461904,4.0,197,0.3504449007529089
18180752,5.293304824724492,7,5,1,3,5,1,1,0,1,3,2.0,3.0,1.0,2,100.0,34,14142.135623730952,12.0,154,5.27583846680356
441901,4.6443908991413725,7,5,1,2,4,1,1,0,1,3,1.0,1.0,1.0,46,90.0,31,54936.87286331468,4.0,169,4.068446269678303
1217318,4.219507705176107,7,2,1,3,4,2,1,0,1,2,1.0,1.0,1.0,5,100.0,32,22360.679774997898,3.0,103,3.7262149212867897
20637981,5.272999558563747,7,5,1,3,2,3,1,0,0,4,2.0,2.0,1.0,2,90.0,28,11455.12985522207,12.0,105,0.0
17907114,5.010635294096256,10,5,1,5,4,1,1,0,1,2,1.0,1.0,1.0,97,97.0,43,92667.90305709954,3.0,166,6.877481177275839
9712126,4.174387269895637,7,2,1,3,4,1,1,0,1,1,1.0,1.0,1.0,90,94.0,32,83825.6562157434,2.0,156,3.326488706365503
533625,3.80666248977032,3,2,1,4,4,2,1,0,1,2,1.0,1.0,1.0,1,100.0,21,10000.0,3.0,98,0.7145790554414785
12476212,4.553876891600541,3,5,1,2,3,2,1,1,1,4,2.0,2.0,1.0,9,100.0,17,30000.0,12.0,190,1.188227241615332
3869319,4.477336814478207,7,2,-1,3,4,1,1,1,1,2,1.0,1.0,1.0,184,93.0,32,117320.74404810088,3.0,91,2.2587268993839835
3582797,4.653960350157523,7,5,1,4,4,3,1,0,1,2,0.0,1.0,1.0,10,98.0,33,30370.51464825712,0.0,81,1.6454483230663928
17590525,3.7841896339182615,6,2,1,3,2,1,1,0,0,1,1.0,1.0,1.0,1,100.0,25,10000.0,2.0,100,3.2279260780287475
13344433,5.5174528964647065,7,5,1,3,3,1,1,0,1,8,4.0,6.0,1.0,3,80.0,30,11085.125168440814,50.0,130,5.171800136892539
14405126,4.174387269895637,7,5,1,3,3,1,1,1,1,2,1.0,1.0,1.0,36,91.0,30,49686.0,3.0,169,3.403148528405202
7902556,5.14166355650266,7,5,1,3,4,1,1,0,0,4,1.0,2.0,1.0,110,92.0,32,88771.18090912163,6.0,147,0.8870636550308009
2995701,4.219507705176107,7,2,1,3,4,3,1,0,1,2,1.0,1.0,1.0,3,100.0,32,17320.508075688773,3.0,106,1.0212183436002735
9782,4.718498871295094,7,5,1,3,3,1,1,0,1,4,1.0,2.0,1.0,83,97.0,30,85720.06954616871,6.0,146,3.446954140999316
9853959,5.075173815233828,7,2,1,3,5,3,0,1,0,2,1.0,1.0,1.0,4,90.0,34,16200.0,3.0,55,0.0711841204654346
17764860,4.007333185232471,3,2,1,2,1,3,1,0,1,2,1.0,1.0,1.0,31,94.0,13,49196.76590996607,3.0,194,0.8706365503080082
16658801,5.010635294096256,7,5,1,3,4,3,0,0,1,2,1.0,1.0,1.0,11,95.0,32,29932.538732957484,3.0,185,3.0910335386721424
4730172,4.48863636973214,7,2,1,5,3,1,1,0,1,2,1.0,1.0,1.0,62,92.0,32,66645.60264563597,3.0,159,4.254620123203286
7731797,4.174387269895637,1,5,1,2,3,1,1,0,0,3,0.0,2.0,1.0,42,95.0,11,58488.68480313094,0.0,134,0.6817248459958932
12315897,4.90527477843843,7,5,1,3,3,2,1,0,1,2,1.0,2.0,1.0,28,87.0,30,40051.383346895775,4.0,143,2.080766598220397
6646805,4.0943445622221,7,2,1,3,3,3,0,0,0,1,1.0,1.0,1.0,6,83.0,30,16874.534838033313,2.0,89,1.4948665297741273
4880542,4.07753744390572,7,2,1,3,4,1,1,0,0,3,1.0,2.0,1.0,5,95.0,32,20180.513496935604,5.0,157,1.648186173853525
13192336,5.010635294096256,7,5,1,3,3,2,0,1,0,2,2.0,1.0,1.0,1,100.0,30,10000.0,6.0,95,4.758384668035592
7807561,5.393627546352364,7,5,1,3,4,2,1,0,1,3,1.0,2.0,1.0,5,96.0,32,20607.602480638063,5.0,209,2.21492128678987
11825039,5.298317366548036,7,5,1,3,4,1,1,1,1,2,1.0,1.0,1.0,3,87.0,32,13109.89256248883,3.0,96,2.0616016427104724
19023209,4.584967478670572,7,5,1,3,3,1,1,0,0,2,1.0,1.0,1.0,9,91.0,30,24843.0,3.0,60,2.7652292950034223
9550480,5.4380793089231965,7,5,1,3,5,2,1,0,0,2,0.0,1.0,1.0,1,100.0,34,10000.0,0.0,78,0.0
17905019,4.787491742782046,7,5,1,2,4,1,1,0,0,2,1.0,1.0,1.0,73,94.0,31,75494.8170936257,3.0,108,5.341546885694729
6170738,5.313205979041787,3,5,1,2,4,2,1,0,1,9,4.0,4.0,2.0,52,93.0,19,62368.82596297609,50.0,200,3.802874743326489
4661760,6.2633982625916245,7,5,1,3,5,1,1,1,1,5,1.0,3.0,1.0,27,98.0,34,49903.84786767449,8.0,270,5.566050650239562
13906636,5.075173815233828,7,5,1,3,4,1,1,0,1,2,1.0,1.0,1.0,2,60.0,32,5091.168824543142,3.0,58,4.531143052703627
16443208,4.74493212836325,7,5,1,2,3,1,1,1,0,5,0.0,3.0,1.0,89,93.0,29,81594.50281115757,0.0,165,0.971937029431896
14650833,4.23410650459726,7,2,1,3,4,1,1,1,0,2,1.0,1.0,1.0,3,20.0,32,692.8203230275509,3.0,99,4.440793976728268
1755844,5.003946305945459,3,5,1,5,2,1,1,0,1,5,4.0,3.0,2.0,1,100.0,18,10000.0,32.0,138,5.28952772073922
1102942,4.605170185988092,7,1,1,3,3,3,0,1,1,3,1.0,2.0,1.0,1,100.0,30,10000.0,5.0,97,1.826146475017112
6719207,5.003946305945459,7,5,1,3,5,1,1,1,1,4,1.0,2.0,1.0,37,81.0,34,39909.00496128662,6.0,143,3.6249144421629023
16337846,4.867534450455582,4,5,1,4,5,2,1,0,1,2,1.0,1.0,1.5,45,100.0,26,67082.03932499369,3.0,170,3.430527036276523
15968539,4.976733742420574,3,5,1,2,5,1,1,0,1,3,1.0,1.0,1.0,7,97.0,21,24893.874085806736,4.0,80,2.9596167008898013
13348000,4.74493212836325,7,5,1,2,4,2,1,0,1,2,1.0,1.0,1.0,20,92.0,31,37852.158723116445,3.0,104,4.440793976728268
14237397,5.68697535633982,7,5,1,5,5,3,0,1,0,5,2.0,2.0,1.0,4,95.0,36,18050.0,14.0,129,0.0
879035,5.5606816310155285,3,5,1,2,1,2,1,0,1,7,3.0,5.0,2.0,5,75.0,13,12577.882373436318,36.0,182,0.2765229295003422
12592117,4.248495242049359,7,5,1,5,2,2,1,1,1,2,0.0,1.0,1.0,67,90.0,30,66301.35745216685,0.0,187,2.130047912388775
8770382,4.976733742420574,7,5,1,2,4,2,0,1,1,2,1.0,1.0,1.0,2,90.0,31,11455.12985522207,3.0,118,4.095824777549623
4190935,4.976733742420574,7,5,1,3,1,1,1,0,0,4,2.0,2.0,1.0,27,99.0,26,50927.4898949477,12.0,116,0.9965776865160848
17780548,4.454347296253506,7,2,1,3,1,1,1,0,1,2,1.0,1.0,1.0,7,100.0,26,26457.51311064591,3.0,138,4.583162217659138
7423809,6.683360945766275,7,5,1,3,5,1,1,0,1,9,5.0,9.0,2.0,61,85.0,34,56429.05390842557,50.0,190,1.9931553730321696
10230866,3.912023005428147,7,2,1,3,3,3,0,0,1,2,1.0,1.0,1.0,4,100.0,30,20000.0,3.0,36,2.9568788501026693
7404255,5.857933154483459,7,5,1,3,4,1,1,0,1,6,3.0,4.0,1.5,10,96.0,32,29143.550916111784,30.0,127,7.501711156741957
18005988,5.043425116919247,3,2,1,5,3,3,1,0,0,2,1.0,1.0,1.0,147,98.0,20,116442.31169124048,3.0,98,3.326488706365503
7370580,4.23410650459726,3,2,1,5,1,1,1,0,1,2,1.0,1.0,1.0,1,100.0,16,10000.0,3.0,111,1.626283367556468
9714323,4.605170185988092,7,2,1,3,1,2,1,0,0,3,1.0,2.0,1.0,11,93.0,26,28685.487811783853,5.0,109,0.0
1330775,5.703782474656202,7,5,1,3,5,1,1,0,1,3,0.0,1.0,1.0,1,100.0,34,10000.0,0.0,175,3.759069130732375
14624902,4.3694478524670215,7,2,1,3,3,1,1,1,0,2,1.0,1.0,1.0,7,97.0,30,24893.874085806736,3.0,212,2.0424366872005475
14538224,5.003946305945459,7,5,1,3,4,1,1,0,1,4,1.0,1.0,1.0,55,95.0,32,66931.19134603835,5.0,169,2.42299794661191
8849758,4.465908118654584,7,2,1,3,4,3,1,0,0,4,1.0,2.0,1.0,1,100.0,32,10000.0,6.0,68,3.553730321697468
9651123,4.59511985013459,3,2,1,5,5,1,0,1,0,2,1.0,1.0,1.5,5,100.0,24,22360.679774997898,3.0,109,2.412046543463381
16288853,4.61512051684126,7,5,1,3,3,2,0,0,1,4,1.0,1.0,1.0,6,67.0,30,10995.759455353686,5.0,116,5.823408624229979
13709910,4.762173934797756,7,5,1,5,3,1,1,1,1,4,1.0,2.0,1.0,16,85.0,32,28900.0,6.0,79,5.322381930184805
12604187,4.941642422609304,7,5,1,2,5,2,1,1,0,4,2.0,2.0,1.0,2,60.0,33,5091.168824543142,12.0,118,0.5503080082135524
14618874,3.80666248977032,7,2,1,3,2,1,1,1,1,2,1.0,1.0,1.0,4,100.0,28,20000.0,3.0,258,0.0
18188738,5.010635294096256,6,5,1,3,3,1,1,1,0,8,3.0,3.0,2.0,12,95.0,27,31263.517076618235,33.0,226,0.0
14802672,4.394449154672439,7,2,1,5,4,1,1,0,1,2,1.0,1.0,1.0,4,75.0,34,11250.0,3.0,0,5.034907597535934
17889452,4.248495242049359,7,2,1,3,4,3,0,0,0,2,1.0,1.0,1.0,3,90.0,32,14029.611541307906,3.0,20,0.6242299794661191
18490915,4.0943445622221,7,2,1,3,4,3,1,0,1,2,1.0,1.0,1.0,7,86.0,32,19567.976696633712,3.0,151,3.586584531143053
14011916,5.298317366548036,9,5,1,5,4,2,1,1,0,3,2.0,2.0,1.0,9,96.0,40,27648.0,10.0,119,0.216290212183436
660008,4.174387269895637,7,5,1,5,5,2,1,0,1,5,2.0,3.0,1.0,6,95.0,36,22106.64492861818,16.0,85,4.826830937713894
16414226,4.867534450455582,7,5,1,3,2,3,1,1,0,4,1.0,2.0,1.0,3,100.0,28,17320.508075688773,6.0,135,0.0
12519645,5.937536205082426,7,5,1,3,5,2,1,0,1,4,1.0,2.0,2.0,33,99.0,34,56302.45849871922,6.0,265,5.377138945927447
15579482,4.709530201312334,7,2,1,3,5,1,1,0,1,2,1.0,1.0,1.0,320,90.0,34,144897.2049419864,3.0,88,4.536618754277892
17487806,3.912023005428147,7,2,1,3,3,3,0,0,0,1,1.0,1.0,1.0,2,90.0,30,11455.12985522207,2.0,107,4.933607118412047
11728836,4.248495242049359,7,2,1,3,2,1,1,0,1,2,1.0,2.0,1.0,10,96.0,28,29143.550916111784,4.0,152,2.6365503080082138
4296177,3.1780538303479458,3,1,1,3,4,1,1,0,0,5,1.0,5.0,2.5,3,80.0,20,11085.125168440814,10.0,161,0.0
13238211,4.700480365792417,7,5,1,3,3,1,1,0,1,2,1.0,1.0,1.0,9,91.0,30,24843.0,3.0,149,0.6160164271047228
14551017,4.8283137373023015,7,5,1,2,4,1,1,1,1,3,1.0,2.0,1.0,3,67.0,31,7775.17607517669,5.0,168,1.2566735112936345
18275502,4.990432586778736,7,5,1,2,4,2,1,0,1,3,1.0,1.0,1.0,61,97.0,31,73486.63920060571,4.0,141,4.136892539356605
14303653,5.521460917862246,7,5,1,3,4,1,1,0,1,2,1.0,1.0,1.0,22,98.0,32,45046.75295734422,3.0,108,2.458590006844627
6670272,5.476463551931511,7,5,1,3,5,1,1,1,1,5,1.0,3.0,1.0,81,84.0,34,63504.0,8.0,169,1.919233401779603
18746866,4.0943445622221,10,2,1,3,4,3,1,0,0,2,1.0,1.0,2.0,1,60.0,41,3600.0,3.0,112,0.3039014373716632
16160027,4.0943445622221,7,2,1,2,1,2,0,0,1,1,1.0,1.0,1.0,5,92.0,25,18926.079361558222,2.0,47,0.3559206023271731
14637667,5.521460917862246,7,5,1,3,3,1,1,1,0,3,1.0,1.0,1.0,2,100.0,30,14142.135623730952,4.0,149,0.0
20995454,3.80666248977032,3,2,1,3,2,1,0,1,1,1,1.0,1.0,1.0,10,98.0,16,30370.51464825712,2.0,38,0.0438056125941136
3120957,5.043425116919247,7,2,1,3,4,1,1,0,1,2,1.0,1.0,2.0,1,80.0,32,6400.0,3.0,157,2.5051334702258727
1774077,4.48863636973214,9,2,1,3,4,2,1,0,0,2,1.0,1.0,1.0,5,100.0,38,22360.679774997898,3.0,98,3.2580424366872007
20499306,4.74493212836325,7,5,1,3,3,1,1,1,0,4,2.0,3.0,1.0,26,96.0,30,46992.563837271104,14.0,181,0.7912388774811773
18488416,5.010635294096256,7,5,1,5,2,1,1,0,1,3,1.0,1.0,1.0,112,98.0,30,101639.18236585733,4.0,175,1.2238193018480492
7573221,5.075173815233828,7,5,1,5,3,1,1,0,1,3,0.0,2.0,1.0,73,98.0,32,82056.61197002957,0.0,234,3.655030800821356
8846877,5.991464547107983,7,5,1,3,4,2,1,0,1,6,3.0,3.0,1.0,1,100.0,32,10000.0,27.0,100,2.130047912388775
16792949,3.9889840465642745,3,2,1,3,1,1,1,1,0,2,1.0,1.0,1.0,50,97.0,14,66531.67704184225,3.0,213,2.067077344284737
2061930,4.382026634673881,7,2,1,3,1,3,1,0,1,1,1.0,1.0,1.0,11,93.0,26,28685.487811783853,2.0,71,2.8254620123203287
14841969,4.90527477843843,7,5,1,3,4,1,0,1,1,2,1.0,1.0,1.0,10,100.0,32,31622.7766016838,3.0,90,7.592060232717317
15852221,4.8283137373023015,9,2,1,3,3,3,0,1,0,2,1.0,1.0,1.0,15,100.0,36,38729.83346207417,3.0,133,0.0
4829779,4.74493212836325,7,2,1,3,4,1,1,0,1,2,2.0,1.0,1.0,10,98.0,32,30370.51464825712,6.0,129,3.504449007529089
