id,log_price,property_type_encoded,room_type_encoded,bed_type_encoded,city_encoded,neighbourhood_encoded,cancellation_policy_encoded,cleaning_fee_encoded,instant_bookable_encoded,host_identity_verified_encoded,accommodates_numeric,bedrooms_numeric,beds_numeric,bathrooms_numeric,number_of_reviews_numeric,review_scores_rating_numeric,latitude_numeric,longitude_numeric,localisation,reputation,couchages,amenities_score,host_experience_years
15888375,4.07753744390572,3,2,1,2,3,2,1,0,1,2,1.0,1.0,1.0,29,99.0,34.175090125773174,-118.51246187284748,17,52780.00027472527,3.0,147,3.5509924709103355
20730943,4.3694478524670215,7,2,1,3,5,2,1,0,1,2,1.0,1.0,1.0,23,91.0,40.744234036246745,-73.97741657008278,34,39714.280844552624,3.0,192,2.099931553730322
14649625,4.74493212836325,7,5,1,3,4,3,1,0,1,2,1.0,1.0,1.0,2,100.0,40.71382776376071,-73.95272546200293,32,14142.135623730952,3.0,90,2.844626967830253
6587722,4.90527477843843,7,5,1,3,4,2,1,0,1,2,1.0,1.0,1.0,9,98.0,40.6832784899203,-73.99820729402397,32,28812.0,3.0,224,2.740588637919233
1721109,5.598421958998375,4,5,1,5,3,1,1,0,0,4,1.0,2.0,1.0,1,100.0,37.78824209530893,-122.41180115041772,23,10000.0,6.0,249,0.7145790554414785
239834,4.442651256490317,7,5,1,3,3,2,1,0,0,3,1.0,1.0,1.0,10,100.0,40.68835433750996,-73.94092138119458,30,31622.7766016838,4.0,89,2.140999315537304
17025789,4.7791234931115305,7,5,1,1,5,1,1,0,1,4,2.0,2.0,2.0,120,96.0,41.911465120597626,-87.66968250115956,32,100956.22179935222,12.0,203,2.724161533196441
856064,4.174387269895637,7,2,1,3,4,1,1,0,1,1,1.0,1.0,1.0,7,90.0,40.71327239385582,-73.96437696597037,32,21430.585619623183,2.0,120,6.275154004106776
1393654,5.521460917862246,7,5,1,1,5,2,1,0,1,4,2.0,2.0,1.5,5,96.0,41.904736310954014,-87.6645343222712,32,20607.602480638063,12.0,181,1.188227241615332
17714457,6.551080335043403,3,5,1,2,4,2,1,0,1,10,8.0,10.0,3.0,3,93.0,34.13923296151074,-118.15965976999844,19,14980.50743466322,50.0,121,0.7063655030800822
13734253,4.934473933130692,7,5,1,4,4,1,1,0,0,2,1.0,1.0,1.0,29,99.0,38.91153975229425,-77.02345525852142,33,52780.00027472527,3.0,177,4.424366872005476
664206,4.4998096703302615,7,2,1,3,4,2,0,0,1,2,1.0,1.0,1.0,1,100.0,40.727837185921466,-73.94937389193045,32,10000.0,3.0,91,1.325119780971937
20713511,4.59511985013459,7,2,1,3,1,3,1,1,0,2,1.0,2.0,1.5,1,100.0,40.714498059617576,-73.91050563935295,26,10000.0,4.0,116,0.0
14898753,4.382026634673881,7,2,1,3,4,1,0,0,1,2,1.0,1.0,1.0,13,100.0,40.69488798574623,-73.96496442726678,32,36055.51275463989,3.0,82,2.759753593429158
14670800,5.010635294096256,7,5,1,3,3,1,1,0,0,6,3.0,3.0,2.5,28,97.0,40.67947915384583,-73.90822358259864,30,49787.74817161347,27.0,86,0.0328542094455852
14104613,5.220355825078324,7,5,1,3,4,1,1,1,0,3,1.0,1.0,1.0,5,96.0,40.77679407410081,-73.94521156293997,32,20607.602480638063,4.0,159,1.779603011635866
9299515,4.700480365792417,7,5,1,3,2,2,1,0,0,4,1.0,2.0,1.0,20,99.0,40.63366041037924,-74.07687137127054,28,43831.40449495088,6.0,102,2.951403148528405
15889115,5.4380793089231965,7,5,1,3,4,3,0,0,0,2,1.0,1.0,2.0,2,100.0,40.71745710548387,-73.95696339341454,32,14142.135623730952,3.0,167,0.0
17763283,4.174387269895637,3,2,1,2,1,2,0,0,1,2,1.0,1.0,1.0,45,97.0,33.86446623630723,-118.35341179197644,13,63117.49080088657,3.0,190,4.602327173169062
238746,4.007333185232471,7,1,1,3,4,1,0,0,0,1,1.0,1.0,1.0,6,80.0,40.71794768913957,-73.94929740666088,32,15676.73435381234,2.0,48,2.16290212183436
16437907,4.867534450455582,7,2,1,3,4,1,1,0,1,6,2.0,3.0,1.0,1,100.0,40.70745371666163,-73.94511102777966,32,10000.0,18.0,147,1.212867898699521
13074357,5.799092654460528,3,5,1,2,5,1,1,0,0,7,3.0,3.0,2.0,19,99.0,34.065836976515165,-118.37637219295912,21,42721.56854564215,30.0,230,0.840520191649555
15896468,4.605170185988092,7,2,1,3,5,2,1,0,1,2,1.0,1.0,1.0,41,87.0,40.746476532208135,-73.98458614840642,34,48465.24735312923,3.0,82,4.887063655030801
20618317,5.298317366548036,7,5,1,3,3,1,1,0,0,7,2.0,4.0,2.0,4,90.0,40.80276447557402,-73.95819896353267,30,16200.0,22.0,180,0.0
6329973,5.416100402204419,7,5,1,3,4,3,1,0,1,4,2.0,3.0,1.0,24,100.0,40.69080213674855,-73.97026808761451,32,48989.79485566356,14.0,180,1.2840520191649556
9507100,4.07753744390572,3,2,1,2,2,3,1,1,1,2,1.0,1.0,1.0,19,98.0,34.042459008337765,-118.31487972912744,15,41862.86545376464,3.0,130,1.2320328542094456
840391,4.382026634673881,7,2,1,2,5,3,0,1,1,2,1.0,1.0,1.0,103,86.0,34.02718984484199,-118.49252451437134,33,75061.20201542205,3.0,85,4.01368925393566
18520172,4.605170185988092,7,2,1,3,5,3,1,0,0,2,1.0,1.0,1.0,2,80.0,40.74649953411001,-73.99100307752838,34,9050.966799187809,3.0,61,1.7987679671457906
17222350,3.912023005428147,7,2,1,3,3,1,1,0,1,1,1.0,1.0,1.0,6,90.0,40.66783661285224,-73.95770338455891,30,19840.866916543742,2.0,87,2.028747433264887
16123943,4.3694478524670215,7,5,1,2,2,1,1,1,0,6,1.0,3.0,1.0,37,79.0,34.030469897075605,-118.26508429684024,27,37962.52095159119,9.0,126,1.3634496919917864
5317981,4.02535169073515,7,2,1,3,2,1,1,0,1,2,1.0,1.0,1.0,43,96.0,40.69638657873638,-73.91007614785174,28,60433.35343996724,3.0,83,1.2265571526351813
16402087,4.477336814478207,7,2,1,3,4,3,1,0,0,2,1.0,1.0,1.0,2,80.0,40.71324789806632,-73.94915547772204,32,9050.966799187809,3.0,114,1.1197809719370295
13137300,5.293304824724492,7,5,1,2,5,1,1,1,1,4,2.0,2.0,2.0,11,87.0,34.0604599802465,-118.39452488529452,33,25103.53303820002,12.0,188,2.8802190280629705
15769369,5.1929568508902095,7,5,1,3,4,1,1,1,1,2,1.0,1.0,1.0,10,95.0,40.71685738625852,-73.9587723482137,32,28539.555883019624,3.0,133,4.958247775496235
7281375,5.488937726156687,3,5,1,2,3,3,1,0,1,10,3.0,3.0,3.0,59,89.0,34.162240617759515,-118.2734315309375,17,60842.355468867245,39.0,202,1.571526351813826
12984787,5.991464547107983,7,5,1,3,3,1,1,0,1,6,4.0,4.0,3.0,1,100.0,40.68340055929449,-73.95614036288377,30,10000.0,40.0,102,4.550308008213553
15666309,4.174387269895637,7,2,1,3,3,2,0,0,1,2,1.0,1.0,1.0,40,96.0,40.68172557292941,-74.00365733538655,30,58287.10183222357,3.0,128,2.529774127310062
14480430,5.010635294096256,4,5,1,2,5,2,1,0,1,3,1.0,1.0,1.0,126,95.0,33.994491110856835,-118.47681332650028,24,101305.37374690449,4.0,131,3.808350444900753
1174537,4.4188406077965965,7,5,1,3,2,1,1,0,1,3,0.0,2.0,1.0,12,92.0,40.65429840375303,-73.91488182080529,28,29320.156070525954,0.0,165,0.0
18841034,5.855071922202427,7,5,1,5,4,2,1,0,1,4,2.0,2.0,2.0,23,84.0,37.77386691710048,-122.44688952561016,34,33839.38722849455,12.0,107,8.429842573579739
13764901,5.298317366548036,7,5,1,2,4,1,1,0,1,4,1.0,2.0,1.0,32,97.0,34.09345499991145,-118.323356765366,31,53225.34163347381,6.0,169,1.757700205338809
1892476,4.31748811353631,7,5,1,3,3,2,1,0,1,2,1.0,1.0,1.0,1,100.0,40.67291873316242,-73.9413656986493,30,10000.0,3.0,72,4.695414099931554
19716328,5.416100402204419,7,5,1,3,5,1,1,0,1,2,1.0,1.0,1.0,1,100.0,40.73101844191356,-73.98441071031377,34,10000.0,3.0,88,3.4962354551676933
9905783,4.74493212836325,9,5,1,3,4,1,1,1,1,3,0.0,2.0,1.0,8,97.0,40.71360462425702,-73.98936247176495,38,26612.670816736903,0.0,214,4.810403832991102
20780877,5.393627546352364,7,5,1,3,5,2,1,0,0,2,1.0,1.0,1.5,1,100.0,40.727333104424666,-73.99037421932401,34,10000.0,3.0,80,3.3347022587268995
4025329,4.007333185232471,7,2,1,3,2,2,1,0,1,2,1.0,1.0,1.0,10,96.0,40.683364038718906,-73.90714901973877,28,29143.550916111784,3.0,201,0.0
13039122,4.23410650459726,6,2,1,3,2,1,1,0,1,2,1.0,1.0,2.0,24,88.0,40.695705100103886,-73.9206975368551,25,37937.697136225856,3.0,118,1.4647501711156743
11476512,4.74493212836325,7,2,1,3,5,3,1,1,0,2,1.0,1.0,1.0,12,98.0,40.722543924562366,-73.99542955835294,34,33269.23191178299,3.0,136,3.559206023271732
11992914,5.075173815233828,7,5,1,3,5,2,1,0,1,2,1.0,2.0,1.0,5,84.0,40.733733488369815,-74.00659839251365,34,15777.695649238516,4.0,81,4.37782340862423
18675083,3.80666248977032,7,2,1,3,1,1,1,1,1,3,1.0,2.0,1.0,244,97.0,40.770259198962,-73.87560933282403,26,146973.27840121143,5.0,84,1.5030800821355237
12004744,4.976733742420574,7,5,1,3,4,2,1,0,1,2,0.0,1.0,1.0,3,100.0,40.76773378283674,-73.95455834099334,32,17320.508075688773,0.0,137,1.6016427104722792
8195318,4.143134726391533,3,2,1,3,3,1,1,0,1,2,1.0,1.0,1.0,23,95.0,40.67789256824369,-73.94614639807277,18,43282.37949789729,3.0,116,2.217659137577002
19087867,5.521460917862246,7,5,1,3,5,2,1,0,1,2,1.0,1.0,1.0,3,100.0,40.72564912166048,-74.00161230930563,34,17320.508075688773,3.0,114,1.431895961670089
14796238,4.653960350157523,4,2,1,3,3,1,0,0,1,4,2.0,2.0,1.5,64,99.0,40.58662450387922,-73.81249871253458,21,78408.0,12.0,253,2.3436002737850785
12308959,5.459585514144161,7,5,1,3,5,2,0,0,0,4,2.0,2.0,1.0,17,91.0,40.757108429360926,-73.99665326189253,34,34143.437685739846,12.0,108,1.374401095140315
3615796,5.700443573390688,7,5,1,5,4,1,1,1,1,6,2.0,2.0,1.0,115,98.0,42.36000710094668,-71.06661125772438,34,102991.4260509097,16.0,183,3.219712525667352
15798828,4.653960350157523,1,5,1,2,2,1,1,0,1,2,0.0,2.0,1.0,16,99.0,34.042034807200984,-118.30622319621963,9,39204.0,0.0,134,2.209445585215606
19694463,4.0943445622221,7,2,1,4,3,3,0,0,0,2,1.0,2.0,1.0,1,100.0,38.94836379293901,-77.06431352264795,31,10000.0,4.0,88,0.813141683778234
18275681,4.867534450455582,7,5,1,4,4,3,1,0,0,2,1.0,1.0,1.0,3,47.0,38.963289373528106,-77.07428787767044,33,3826.10023391965,3.0,114,3.123887748117728
2936449,5.010635294096256,9,5,1,3,4,1,1,0,1,6,3.0,3.0,1.0,3,100.0,40.68150612728439,-73.9928463312812,38,17320.508075688773,27.0,126,1.5331964407939769
16321223,4.248495242049359,7,2,1,3,3,3,1,1,1,3,1.0,1.0,1.0,127,94.0,40.66429522693789,-73.95196079962088,30,99576.66288844992,4.0,246,0.9527720739219712
9684262,4.532599493153255,7,5,1,3,3,1,1,1,1,4,0.0,2.0,1.0,13,94.0,40.79527897640823,-73.94418267830774,30,31858.651069999807,0.0,194,0.9938398357289528
5146173,4.4998096703302615,7,5,1,2,3,2,1,1,1,3,2.0,2.0,1.0,25,98.0,33.90194884456646,-118.22602683761995,29,48020.0,10.0,134,0.6324435318275154
20424773,5.003946305945459,4,5,1,2,5,1,1,0,1,4,1.0,1.0,1.0,8,100.0,34.13751871671957,-118.36360839226224,24,28284.271247461904,5.0,211,2.9897330595482545
14407767,5.433722003554242,3,5,1,2,3,1,1,0,0,6,3.0,3.0,1.0,85,97.0,34.092261046780486,-118.29851560900818,17,86746.69379866877,27.0,184,2.9842573579739904
19100241,4.787491742782046,7,5,1,3,4,2,1,0,1,4,1.0,1.0,1.0,2,100.0,40.68625923216123,-73.9623727261741,32,14142.135623730952,5.0,174,0.0
18199361,4.787491742782046,3,2,1,3,1,2,1,1,0,3,1.0,1.0,1.0,9,97.0,40.74111372555953,-73.8943462238632,14,28227.0,4.0,90,3.794661190965092
1841832,4.248495242049359,7,1,1,2,4,1,1,0,0,1,1.0,1.0,1.0,19,99.0,34.07046774192178,-118.45389600474066,31,42721.56854564215,2.0,120,1.1471594798083504
4620262,5.857933154483459,7,5,1,3,3,2,1,1,1,10,4.0,5.0,1.0,67,96.0,40.75718046463773,-73.9305842640436,30,75436.2111455765,50.0,263,1.1444216290212184
16965094,5.010635294096256,7,5,1,3,5,1,1,0,1,4,1.0,1.0,1.0,26,98.0,40.73000673843303,-73.98463836764186,34,48970.9834085451,5.0,117,1.429158110882957
1530386,5.68697535633982,3,5,1,3,4,2,1,0,1,6,2.0,4.0,1.5,7,97.0,40.6610623171776,-73.98316096744549,20,24893.874085806736,20.0,195,4.780287474332649
4836986,5.010635294096256,7,5,1,3,5,1,1,1,1,2,1.0,1.0,1.0,13,100.0,40.7327784381599,-74.00665649900172,34,36055.51275463989,3.0,100,3.9534565366187535
19596066,4.0943445622221,7,5,1,3,1,3,1,0,1,2,1.0,1.0,1.0,2,100.0,40.70699537327046,-73.90085741527427,26,14142.135623730952,3.0,140,4.574948665297741
2934692,5.857933154483459,7,5,1,5,5,2,1,0,1,4,3.0,2.0,2.5,14,98.0,42.35279313342642,-71.07730649782242,36,35934.877542576935,18.0,126,4.079397672826831
18877699,4.465908118654584,7,5,1,3,4,1,1,0,0,2,1.0,1.0,1.0,2,100.0,40.77628450917097,-73.95266307476643,32,14142.135623730952,3.0,158,0.0
17206947,4.48863636973214,1,5,1,2,3,3,1,1,1,1,1.0,1.0,1.0,2,60.0,34.0371015479955,-118.42504869517616,11,5091.168824543142,2.0,145,0.4106776180698152
18226182,4.4998096703302615,7,2,1,3,4,3,0,0,1,2,1.0,1.0,1.0,2,100.0,40.8008152369792,-73.964482058866,32,14142.135623730952,3.0,91,4.008213552361396
13686205,6.214608098422191,10,5,1,3,2,1,1,0,1,16,3.0,3.0,1.0,2,100.0,40.69710651211504,-73.92523376701884,37,14142.135623730952,50.0,146,5.111567419575633
13167484,4.74493212836325,7,5,1,2,4,2,1,0,0,3,1.0,1.0,1.0,8,100.0,34.08823030285693,-118.3620967489687,31,28284.271247461904,4.0,197,0.3504449007529089
18180752,5.293304824724492,7,5,1,3,5,1,1,0,1,3,2.0,3.0,1.0,2,100.0,40.73102848529801,-74.00151717139578,34,14142.135623730952,12.0,154,5.27583846680356
441901,4.6443908991413725,7,5,1,2,4,1,1,0,1,3,1.0,1.0,1.0,46,90.0,34.09615165817564,-118.26027032045882,31,54936.87286331468,4.0,169,4.068446269678303
1217318,4.219507705176107,7,2,1,3,4,2,1,0,1,2,1.0,1.0,1.0,5,100.0,40.70617094725047,-73.9367439618854,32,22360.679774997898,3.0,103,3.7262149212867897
20637981,5.272999558563747,7,5,1,3,2,3,1,0,0,4,2.0,2.0,1.0,2,90.0,40.69716363455887,-73.91447192613484,28,11455.12985522207,12.0,105,0.0
17907114,5.010635294096256,10,5,1,5,4,1,1,0,1,2,1.0,1.0,1.0,97,97.0,37.79579579428225,-122.41533449205014,43,92667.90305709954,3.0,166,6.877481177275839
9712126,4.174387269895637,7,2,1,3,4,1,1,0,1,1,1.0,1.0,1.0,90,94.0,40.705368109007466,-73.92974713503516,32,83825.6562157434,2.0,156,3.326488706365503
533625,3.80666248977032,3,2,1,4,4,2,1,0,1,2,1.0,1.0,1.0,1,100.0,38.90012532411698,-76.99020580340647,21,10000.0,3.0,98,0.7145790554414785
12476212,4.553876891600541,3,5,1,2,3,2,1,1,1,4,2.0,2.0,1.0,9,100.0,33.98319620119369,-118.052571540142,17,30000.0,12.0,190,1.188227241615332
3869319,4.477336814478207,7,2,-1,3,4,1,1,1,1,2,1.0,1.0,1.0,184,93.0,40.78882574105168,-73.97616147567852,32,117320.74404810088,3.0,91,2.2587268993839835
3582797,4.653960350157523,7,5,1,4,4,3,1,0,1,2,0.0,1.0,1.0,10,98.0,38.91135514199722,-77.02279983636625,33,30370.51464825712,0.0,81,1.6454483230663928
17590525,3.7841896339182615,6,2,1,3,2,1,1,0,0,1,1.0,1.0,1.0,1,100.0,40.70127353036392,-73.92606877475255,25,10000.0,2.0,100,3.2279260780287475
13344433,5.5174528964647065,7,5,1,3,3,1,1,0,1,8,4.0,6.0,1.0,3,80.0,40.659463901629096,-73.94961235573689,30,11085.125168440814,50.0,130,5.171800136892539
14405126,4.174387269895637,7,5,1,3,3,1,1,1,1,2,1.0,1.0,1.0,36,91.0,40.68757344830785,-73.93031806061103,30,49686.0,3.0,169,3.403148528405202
7902556,5.14166355650266,7,5,1,3,4,1,1,0,0,4,1.0,2.0,1.0,110,92.0,40.71319074233594,-73.9580691362581,32,88771.18090912163,6.0,147,0.8870636550308009
2995701,4.219507705176107,7,2,1,3,4,3,1,0,1,2,1.0,1.0,1.0,3,100.0,40.78285331864622,-73.94565587493905,32,17320.508075688773,3.0,106,1.0212183436002735
9782,4.718498871295094,7,5,1,3,3,1,1,0,1,4,1.0,2.0,1.0,83,97.0,40.68631098807495,-73.93992726062562,30,85720.06954616871,6.0,146,3.446954140999316
9853959,5.075173815233828,7,2,1,3,5,3,0,1,0,2,1.0,1.0,1.0,4,90.0,40.745858083337744,-74.00360502820537,34,16200.0,3.0,55,0.0711841204654346
17764860,4.007333185232471,3,2,1,2,1,3,1,0,1,2,1.0,1.0,1.0,31,94.0,33.96585420319423,-118.34711889396073,13,49196.76590996607,3.0,194,0.8706365503080082
16658801,5.010635294096256,7,5,1,3,4,3,0,0,1,2,1.0,1.0,1.0,11,95.0,40.78670686222277,-73.97824774280187,32,29932.538732957484,3.0,185,3.0910335386721424
4730172,4.48863636973214,7,2,1,5,3,1,1,0,1,2,1.0,1.0,1.0,62,92.0,37.76907821184396,-122.42031988076656,32,66645.60264563597,3.0,159,4.254620123203286
7731797,4.174387269895637,1,5,1,2,3,1,1,0,0,3,0.0,2.0,1.0,42,95.0,34.2686747835472,-118.49132131094088,11,58488.68480313094,0.0,134,0.6817248459958932
12315897,4.90527477843843,7,5,1,3,3,2,1,0,1,2,1.0,2.0,1.0,28,87.0,40.57909994393785,-73.98143123453171,30,40051.383346895775,4.0,143,2.080766598220397
6646805,4.0943445622221,7,2,1,3,3,3,0,0,0,1,1.0,1.0,1.0,6,83.0,40.803187161941295,-73.95432251263128,30,16874.534838033313,2.0,89,1.4948665297741273
4880542,4.07753744390572,7,2,1,3,4,1,1,0,0,3,1.0,2.0,1.0,5,95.0,40.7996342902538,-73.9679286325956,32,20180.513496935604,5.0,157,1.648186173853525
13192336,5.010635294096256,7,5,1,3,3,2,0,1,0,2,2.0,1.0,1.0,1,100.0,40.67747328653586,-73.94973391556009,30,10000.0,6.0,95,4.758384668035592
7807561,5.393627546352364,7,5,1,3,4,2,1,0,1,3,1.0,2.0,1.0,5,96.0,40.71813346044753,-73.98598501466078,32,20607.602480638063,5.0,209,2.21492128678987
11825039,5.298317366548036,7,5,1,3,4,1,1,1,1,2,1.0,1.0,1.0,3,87.0,40.773776438367584,-73.95684484120335,32,13109.89256248883,3.0,96,2.0616016427104724
19023209,4.584967478670572,7,5,1,3,3,1,1,0,0,2,1.0,1.0,1.0,9,91.0,40.6743197362644,-73.95948606851366,30,24843.0,3.0,60,2.7652292950034223
9550480,5.4380793089231965,7,5,1,3,5,2,1,0,0,2,0.0,1.0,1.0,1,100.0,40.74466692245145,-73.98031663475393,34,10000.0,0.0,78,0.0
17905019,4.787491742782046,7,5,1,2,4,1,1,0,0,2,1.0,1.0,1.0,73,94.0,34.05551254018063,-118.34914500603772,31,75494.8170936257,3.0,108,5.341546885694729
6170738,5.313205979041787,3,5,1,2,4,2,1,0,1,9,4.0,4.0,2.0,52,93.0,34.088881791438304,-118.36087405296914,19,62368.82596297609,50.0,200,3.802874743326489
4661760,6.2633982625916245,7,5,1,3,5,1,1,1,1,5,1.0,3.0,1.0,27,98.0,40.735282055669295,-74.00688952439204,34,49903.84786767449,8.0,270,5.566050650239562
13906636,5.075173815233828,7,5,1,3,4,1,1,0,1,2,1.0,1.0,1.0,2,60.0,40.71863647998979,-73.98496228328555,32,5091.168824543142,3.0,58,4.531143052703627
16443208,4.74493212836325,7,5,1,2,3,1,1,1,0,5,0.0,3.0,1.0,89,93.0,34.04896184591987,-118.27028114135273,29,81594.50281115757,0.0,165,0.971937029431896
14650833,4.23410650459726,7,2,1,3,4,1,1,1,0,2,1.0,1.0,1.0,3,20.0,40.712853207007775,-73.9615136439818,32,692.8203230275509,3.0,99,4.440793976728268
1755844,5.003946305945459,3,5,1,5,2,1,1,0,1,5,4.0,3.0,2.0,1,100.0,42.30988682257417,-71.11789702317628,18,10000.0,32.0,138,5.28952772073922
1102942,4.605170185988092,7,1,1,3,3,3,0,1,1,3,1.0,2.0,1.0,1,100.0,40.77266351632032,-73.9026779910605,30,10000.0,5.0,97,1.826146475017112
6719207,5.003946305945459,7,5,1,3,5,1,1,1,1,4,1.0,2.0,1.0,37,81.0,40.75351911396464,-73.9680737678772,34,39909.00496128662,6.0,143,3.6249144421629023
16337846,4.867534450455582,4,5,1,4,5,2,1,0,1,2,1.0,1.0,1.5,45,100.0,38.8843403292632,-76.98839031324009,26,67082.03932499369,3.0,170,3.430527036276523
15968539,4.976733742420574,3,5,1,2,5,1,1,0,1,3,1.0,1.0,1.0,7,97.0,33.99552048524718,-118.46959876075351,21,24893.874085806736,4.0,80,2.9596167008898013
13348000,4.74493212836325,7,5,1,2,4,2,1,0,1,2,1.0,1.0,1.0,20,92.0,34.081311201413854,-118.38068377315936,31,37852.158723116445,3.0,104,4.440793976728268
14237397,5.68697535633982,7,5,1,5,5,3,0,1,0,5,2.0,2.0,1.0,4,95.0,37.8012570664905,-122.42218659942203,36,18050.0,14.0,129,0.0
879035,5.5606816310155285,3,5,1,2,1,2,1,0,1,7,3.0,5.0,2.0,5,75.0,34.046250454831274,-118.16045954047216,13,12577.882373436318,36.0,182,0.2765229295003422
12592117,4.248495242049359,7,5,1,5,2,2,1,1,1,2,0.0,1.0,1.0,67,90.0,42.38618711248181,-71.00461976225016,30,66301.35745216685,0.0,187,2.130047912388775
8770382,4.976733742420574,7,5,1,2,4,2,0,1,1,2,1.0,1.0,1.0,2,90.0,33.960552953062425,-118.450301536374,31,11455.12985522207,3.0,118,4.095824777549623
4190935,4.976733742420574,7,5,1,3,1,1,1,0,0,4,2.0,2.0,1.0,27,99.0,40.763258677498,-73.88661843384537,26,50927.4898949477,12.0,116,0.9965776865160848
17780548,4.454347296253506,7,2,1,3,1,1,1,0,1,2,1.0,1.0,1.0,7,100.0,40.64575835329744,-74.00258018171706,26,26457.51311064591,3.0,138,4.583162217659138
7423809,6.683360945766275,7,5,1,3,5,1,1,0,1,9,5.0,9.0,2.0,61,85.0,40.74790474006868,-73.98682785627841,34,56429.05390842557,50.0,190,1.9931553730321696
10230866,3.912023005428147,7,2,1,3,3,3,0,0,1,2,1.0,1.0,1.0,4,100.0,40.668907103422,-73.95330437424279,30,20000.0,3.0,36,2.9568788501026693
7404255,5.857933154483459,7,5,1,3,4,1,1,0,1,6,3.0,4.0,1.5,10,96.0,40.72480817161134,-73.9805652508546,32,29143.550916111784,30.0,127,7.501711156741957
18005988,5.043425116919247,3,2,1,5,3,3,1,0,0,2,1.0,1.0,1.0,147,98.0,37.75942336176793,-122.407542379533,20,116442.31169124048,3.0,98,3.326488706365503
7370580,4.23410650459726,3,2,1,5,1,1,1,0,1,2,1.0,1.0,1.0,1,100.0,42.27996739005163,-71.09494450740807,16,10000.0,3.0,111,1.626283367556468
9714323,4.605170185988092,7,2,1,3,1,2,1,0,0,3,1.0,2.0,1.0,11,93.0,40.751044876155575,-73.87977165195989,26,28685.487811783853,5.0,109,0.0
1330775,5.703782474656202,7,5,1,3,5,1,1,0,1,3,0.0,1.0,1.0,1,100.0,40.73468880675017,-74.00422698024879,34,10000.0,0.0,175,3.759069130732375
14624902,4.3694478524670215,7,2,1,3,3,1,1,1,0,2,1.0,1.0,1.0,7,97.0,40.69809500136687,-73.94037535486139,30,24893.874085806736,3.0,212,2.0424366872005475
14538224,5.003946305945459,7,5,1,3,4,1,1,0,1,4,1.0,1.0,1.0,55,95.0,40.71658684479242,-73.98948827483778,32,66931.19134603835,5.0,169,2.42299794661191
8849758,4.465908118654584,7,2,1,3,4,3,1,0,0,4,1.0,2.0,1.0,1,100.0,40.78141924689179,-73.9841792263432,32,10000.0,6.0,68,3.553730321697468
9651123,4.59511985013459,3,2,1,5,5,1,0,1,0,2,1.0,1.0,1.5,5,100.0,42.38278031437876,-71.07711674839383,24,22360.679774997898,3.0,109,2.412046543463381
16288853,4.61512051684126,7,5,1,3,3,2,0,0,1,4,1.0,1.0,1.0,6,67.0,40.796392722833865,-73.93805484049844,30,10995.759455353686,5.0,116,5.823408624229979
