id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
13642074,6.324358962381313,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""High chair"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",10,3.5,Real Bed,strict,True,DC,"Sligo Creek Manor is the most luxuriously appointed home in the DC region offering unique amenities including a hot tub, tempurpedic mattresses, soft organic bedding and an open area to entertain. You are ideally located 15 min from The Smithsonian museums and The White House by metro. We are 1 mile from the Takoma metro where you can park to ride into DC. Many of my guests prefer to drive to Union Station to park due to most tours leaving from there.  You can pay to park there for the day. Just outside of the hustle and bustle and noise of the city is Sligo Creek. A lovely area abundant with tall trees, creeks and flowering bushes. You are a mile from 2 metro stations that will take you to the sites of DC in 15 minutes. You will be 7 miles from The White House in a quiet neighborhood in a well cared for 5 bedroom home to relax in at the end of the day. The entire home is yours to enjoy I am available by phone 24/7 to assist in whatever I can do to help make your stay enjoyable. The ne",2017-01-02,t,f,100%,2014-10-17,f,2017-01-02,38.985535414656326,-77.02977426794116,Luxury 5 bdrm 4 bath 1 mile to metro 15 min to DC,Shepherd Park,1,100.0,20002,5.0,8.0
587205,4.3694478524670215,Apartment,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,strict,True,LA,"Welcome to your home away from home! Charming 1-bedroom apartment located in a peaceful courtyard setting on a quiet street in the beachside city of Santa Monica. It features plenty of natural light and is clean, safe and secure in a gated community. Nestled between Wilshire Blvd and Santa Monica Bvld (Route 66), many restaurants, bars, shops and supermarkets are only a short walk away. This top floor unit overlooks a lovely courtyard and comes fully furnished with everything you might need. This clean and charming apartment is located in a quiet and safe area of Santa Monica within a gated community. It's situated on the top floor and has views of the charming communal courtyard. With windows front and back, all rooms are bright and airy, with shiny wooden floors, freshly painted walls and functional wooden blinds on all windows. It features a full-sized and fully equipped kitchen with a large fridge, dishwasher, microwave and gas stove in addition to a bar, dining table, desk, L-shap",,t,f,100%,2012-08-01,f,,34.03838757738468,-118.4706881980882,Charming and Tranquil Santa Monica Apartment,Santa Monica,0,,90404,1.0,1.0
16333868,4.867534450455582,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",2,1.0,Real Bed,strict,True,SF,"Live/work in your private two-room suite (bedroom and living room, does not have private bathroom) in our spacious, sunny, flat in the heart of San Francisco's fabulous, walkable, culinary headquarters - the Mission District. 99 Walk Score! A peaceful, clean oasis surrounded by it all. You will enjoy a private bedroom with a big bay windows with views of Valencia Street, Sutro Tower, and the Women's Building murals. One full size bed, desk, lounging chair, closet with shelves and space to unpack. And you will have exclusive access to one of the two separate living rooms of our house, which is directly next to your bedroom. Use this large, sunny room with equally amazing views to spread out, work at the large desk, or just relax and watch the Mission come to life (or Netflix on your laptop). FYI, there is not a couch or other furniture for sleeping in your living room; only the full size bed in the bedroom. So, the rental is good for couples/people who wish to sleep in same bed only. Th",2016-02-29,t,t,100%,2012-05-08,f,2017-09-19,37.76094673871102,-122.42098332489212,Sunny 2Rm Suite Unbeatable Location,Mission District,52,99.0,94110,1.0,1.0
4717034,5.298317366548036,Condominium,Private room,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Doorman,Gym,Elevator,""Hot tub"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Shampoo}",1,1.0,Real Bed,flexible,False,NYC,"modern new bed, with a beautiful view of the city in luxurious building in the highest floor. has a guest bathroom.",,t,t,,2015-08-25,f,,40.748398289016855,-73.97298376745081,Renting very clean bedroom,Murray Hill,0,,10016,1.0,1.0
12838957,4.290459441148391,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,strict,True,Chicago,"Live like a local in a bedroom that's in the heart of Lakeview! Only two blocks from Wrigley Field! Close to Boystown, restaurants, music venues, comedy clubs, trains & much more! Includes private bedroom with attached bathroom in a 3-bedroom loft-Style apartment, h/w floors, A/C, wifi & more! This bedroom is huge and includes an attached bathroom and walk-in closet. Additionally, there is a workspace and available for guests as well as wifi. Did I mention the tempur-pedic mattress that is very comfy? Also the main spaces include living area with television, kitchen with dishwasher, hardwood floors, porch and air conditioning. A large private bedroom, private bath with shower and walk-in closet. There is wifi you will have access to connect your own devices. Additionally there is a large collection of books in the main room that you can read and a guitar and ukelele available to play (though they may need to be tuned). The main room has a television that has a DVD player, Netflix, HBO ",2016-06-26,t,t,80%,2012-09-02,f,2016-11-12,41.94228228634652,-87.65257253014158,Loft Wrigleyville Apt! Private bedroom & bath!,,9,87.0,60657,1.0,1.0
4889948,4.553876891600541,Apartment,Private room,"{""Air conditioning"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,flexible,True,Boston,"Located in Chinatown, you are walking distance from attractions including Faneuil Hall, the North End, Copley Square, Boston Common, and the Prudential.  Includes 1 full-sized bed and closet, full bathroom. Air conditioning! I am a very clean person who maintains everything to the best of my ability. I have 2 other female roommates who are both quiet and respectful, who will also be there during the stay. No visitors. No smoking in or near the building. Females only please- This is strict You have access to your bedroom and the bathroom. Walking distance from the Green, Red and Orange subway lines. Check in time: Anytime before noon I have to be there to let you in as there is no spare set of keys.",2016-07-18,t,f,,2016-07-10,f,2016-07-23,42.348468931543714,-71.06020839932364,Chinatown Single Bedroom,Chinatown,2,80.0,02111,1.0,1.0
4984951,4.31748811353631,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher""}",2,1.0,Pull-out Sofa,flexible,True,LA,"Craftsman Home is in the historic Angelino Heights area of Los Angeles, 5 minutes from Downtown.  The room is small but cozy.  The bathroom is beautifully appointed with a steam shower.  Shared kitchen, living room and lovely backyard with patio. Just purchased 5 inch memory foam mattress for sofa bed. This is a charming room in an historic area of Los Angeles. This house is within walking distance of  Echo Park Lake, hiking trails, shops, buses, restaurants and Dodger Stadium. Guests have access to kitchen, living room, large backyard, front porch with swing, piano, widescreen TV and laundry room (extra charge). We are a family of 3 adults who live in the house.  We live upstairs, while the guest room is on the bottom floor.  We will probably interact often depending on our schedules.   Our neighborhood has become the newest ""hot spot"" in L.A.  Echo Park has many cool nightspots, eateries (lots of vegetarian/vegan options), a newly restored lake with paddle boats, hiking trails and pr",2014-08-02,t,t,100%,2013-11-21,f,2017-04-29,34.07436492271551,-118.25619450180892,Cozy room Echo Park historic home,Echo Park,66,95.0,90026,1.0,1.0
17735336,4.23410650459726,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,moderate,True,NYC,"Bedroom overlooks Riverside Park and Riverbank State Park and catches the afternoon sun and gorgeous sunset! We are blessed with balmy breezes from the oversized windows, plus the high ceilings and large rooms, makes for a very airy cool comfort. You are welcome to use our rebounder, and yoga mats for a full body exercise. There is a small refrigerator in the room for your convenience. Please note we have a small dog and 2 cats for those with allergies. Very very Large Sunny private room in spacious apartment with wood floors, tall ceiling, large windows in pre-war building is available just in time for the perfect New York City vacation. Very convenient to city buses and trains, shops and restaurants. Shared bathroom with myself and one roommate only. If you don't like close quarters and need your space, this is the perfect place for you. This is perfect for a couple with plenty of room to spare.  Our building is located on Riverside Drive across from Riverside Park and Riverbank Stat",2012-11-30,t,t,86%,2012-11-04,f,2017-09-11,40.82378341602836,-73.9545126143915,Huge Sunny Room With a View in Hamilton Heights,Hamilton Heights,16,91.0,10031,1.0,2.0
15607852,5.521460917862246,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Smoking allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers}",10,2.0,Real Bed,strict,True,LA,"Our place is walking distance to Starbucks, Whole Foods & other conveniences & is near Trader Joe's with easy access to the 405 & 10 Freeways.  You’ll love it because of the location and the neighborhood. Our place is good for couples, business travelers, families (with kids), and furry friends (pets). No drug permitted. This is a quiet neighborhood please respect the Families that are living around in this area.",2016-11-30,t,f,100%,2016-09-12,f,2017-04-10,34.01966923691612,-118.43605729307392,Beachside Dream House,Mar Vista,5,80.0,90066,3.0,3.0
9844161,5.988961416889862,Condominium,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",Bathtub,""Game console""}",4,2.0,Real Bed,moderate,True,LA,"This exceptionally located home - just steps from the  Santa Monica Beach near Shutters Hotel. Very Quiet. Situated in the heart between the Santa Monica Pier and the famous Venice Walk, this sophisticated California casual condo has it all!  This home provides the finest amenities including two bedrooms, two full baths and a wonderfully airy, bright living and dining room and state-of-the-art, fully equipped/stocked kitchen.  Main Street, The Promenade, and Abbott Kinney shopping galore! View spectacular ocean sunsets while sipping cocktails on the deck or listening to the spectacular summer live music series from the Santa Monica Pier. Sit out in the sun during the day or people-watch on the famous Santa Monica bike path.   Each room is very spacious and finely decorated with extraordinary antiques, paintings and objects d art. Also, each with a flat-screen TV, Sonos house music system which is easy for you to use.  The latest electronic and entertainment features add to your enjoyme",2017-01-09,t,t,90%,2011-07-05,f,2017-04-24,34.00482662719524,-118.48977313785394,ECLECTIC BEACHFRONT Condo  - near Shutters,Santa Monica,7,97.0,90405,2.0,2.0
12231443,5.5174528964647065,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace""}",6,1.0,Real Bed,flexible,True,NYC,"Convenient apartment right in-between Lower East Side, East Village and Chinatown. Close to Bowery, Soho, Tribeca and Little Italy. BDFM and 6 trains super close. Proper 2 bedroom (full beds), with pull-out full size bed couch. Kitchen and bathroom.",,t,f,,2014-01-06,f,,40.71923917014743,-73.9971917601853,Quaint 2 Bedroom Apt in LES (6 ppl),Chinatown,0,,10002,2.0,2.0
17512445,5.991464547107983,Condominium,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",6,2.0,Real Bed,moderate,True,LA,"1300 SF penthouse luxury condo with 180 degree views. It features an outside balcony patio with a heat lamp, patio TV and lounge area which includes complimentary champagne, etc. There are multiple TV's as well as wifi and brand new appliances throughout home. wash/dryer, dishwasher, etc.  My place is close to Cinemark Playa Vista And XD, California Pizza Kitchen, Hopdoddy Burger Bar - Playa Vista, and Urban Plates. My place is good for couples, business travelers, and families (with kids). This space is a 1300 SF penthouse luxury condo with 180 degree views. It features an outside balcony patio with a heat lamp, patio TV and lounge area which includes complimentary champagne, etc.  Also there are multiple TV's as well as wifi and brand new appliances throughout home. Gorgeous hardwood floors. All cleaning fees are included. Gym, pool, hot tub, entire home, patio. Yes, I will be able to offer you assistance during your stay. I am available by phone or email 24/7. My place is close to C",,t,f,100%,2017-02-10,t,,33.978518086628625,-118.41970505128091,This penthouse condo is your home away from home,,0,,90094,2.0,2.0
15888375,4.07753744390572,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron}",2,1.0,Real Bed,moderate,True,LA,"Cozy private room with queen-sized bed in modern Encino home. We live on a quiet, residential street in one of the safest neighborhoods in the Los Angeles area. We have a private, backyard pool which you are welcome to use and a friendly, small dog. Queen-sized bed with modern, sunny colors to greet you. Full bathroom is located just next door, and is shared with me and my husband. We have a super cute little dog, named Chachee, who will be happy to say hello if you'd like. Take a dip in the pool during the spring and summer months and help yourself to our bountiful orange tree! You are welcome to enjoy the private bedroom, shared bathroom and outdoor area. We are pretty casual and friendly, so please don't hesitate to eat at the table, use the kitchen, etc. The weather is usually phenomenal, so we have seating outdoors as well, and are 420 friendly (outside only please). Free wifi for everyone! Also, we have a lockbox for the key, so check-in and out is super easy, even if we're not h",2016-02-15,t,t,100%,2013-06-14,f,2017-04-30,34.175090125773174,-118.51246187284748,Private Room with Backyard Pool,Encino,29,99.0,91316,1.0,1.0
